TABLE_NAME,COLUMN_NAME,SQL_TYPE,NULLABLE,CLASS_TYPE,PRIMARYKEY
Company,companyID,int,NO,int,YES
Company,companyName,nvarchar,YES,string,
Company,companyAccountNo,nvarchar,YES,string,
Company,companyFirstName,nvarchar,YES,string,
Company,companyLastName,nvarchar,YES,string,
Customers,custID,int,NO,int,YES
Customers,custFirstName,nvarchar,YES,string,
Customers,custLastName,nvarchar,YES,string,
Customers,custAddress,nvarchar,YES,string,
Customers,custAddress2,nvarchar,YES,string,
StatusTypes,Id,int,NO,int,YES
StatusTypes,Name,varchar,YES,string,
StatusTypes,Description,varchar,YES,string,
StatusTypes,Active,bit,NO,bool,
Tracking,trackID,int,NO,int,YES
Tracking,custID,int,YES,int?,
Tracking,loginIP,nvarchar,YES,string,
Tracking,trackMemo,nvarchar,YES,string,
Users,Id,int,NO,int,YES
Users,Guid,uniqueidentifier,NO,Guid,
Users,LastName,nvarchar,YES,string,
Users,FirstName,nvarchar,YES,string,
Users,Email,nvarchar,YES,string,
